Unique Track Name,Unique URL,Album Name,Artist Name,Hour,Time of Day,Year,Path Order,Track by Artist,Table Name,Track Name,"Track Name No ""-""",Uri,Duration Listened
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,16,Afternoon,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,5.05355
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,13,Afternoon,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,5.05355
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,20,Evening,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,2.940666667
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,23,Evening,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,5.05355
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,22,Evening,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,5.05355
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,20,Evening,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,5.05355
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,10,Morning,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,5.05355
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,8,Morning,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,1.61955
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,14,Afternoon,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,1.092333333
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,Harvest Moon,Neil Young,12,Afternoon,2021,0,Harvest Moon -- Neil Young,Spotify Listening History 2019 - 2022.csv,Harvest Moon,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,4.37475
