Unique Track Name,Unique URL,No. of Streams,Rank of no of streams,Mode Capitalized,Tempo adjusted,Time Signature Adjusted,Duration Listened
Nothing's Gonna Hurt You Baby,https://open.spotify.com/embed/track/64m76xtJ3QHVrajSkMMzAo,190,1,Major,96.818,4/4,812.349750000
Happy 4 U,https://open.spotify.com/embed/track/00OIc0La1fUi1jQ0fjJvYZ,187,1,Major,133.51,4/4,618.494966667
Maybe,https://open.spotify.com/embed/track/7sljA9XJXVCbbXLK5XpDtu,309,1,Major,91.763,4/4,1163.782766667
She Loves You ,https://open.spotify.com/embed/track/6nEkxYIEnrbYH7h1hJ8Xn6,192,1,Minor,75.533,4/4,453.715083333
Don't Let Me Down ,https://open.spotify.com/embed/track/5BhMoGrz5KzG2fA5uzHjZ1,288,1,Major,163.63,4/4,914.210800000
Early Morning Rain,https://open.spotify.com/embed/track/4GV5wmFd0G5NW8lQK9aVvP,179,1,Major,98.095,4/4,679.9658
Albatross,https://open.spotify.com/embed/track/3iZ5twPwvFeOUQA4Deu8tP,184,1,Minor,67.168,3/4,548.199716667
Harvest Moon,https://open.spotify.com/embed/track/2nekCvC9XRXQckWNnkIp2l,244,1,Major,112.929,4/4,1070.608983333
Lovers Rock,https://open.spotify.com/embed/track/1H7zdcRD0gLGQY0w5ejGgX,181,1,Minor,104.97,4/4,626.746016667
Eddy's Song,https://open.spotify.com/embed/track/0a9hOfhjo8xOzSsbnCrikz,187,1,Major,130.881,4/4,618.698583333
